county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Pecos,66.7,142,*,**,57.2,481,*,12,0500000US48371,Pecos,PECOS,Rural,Border,PECOS
Polk,60,"1,011",50.7,107,51.8,247,44.6,45,0500000US48373,Polk,POLK,Rural,Non-Border,POLK
Potter,67.2,"2,367",48.7,555,55.4,"2,554",40.7,372,0500000US48375,Potter,POTTER,Urban,Non-Border,POTTER
Presidio,57.1,32,*,**,42.8,226,--,0,0500000US48377,Presidio,PRESIDIO,Rural,Border,PRESIDIO
Rains,65.8,265,*,**,51.5,34,*,**,0500000US48379,Rains,RAINS,Rural,Non-Border,RAINS
Randall,77,"4,454",56.6,163,67.1,"1,303",65.9,226,0500000US48381,Randall,RANDALL,Urban,Non-Border,RANDALL
Reagan,69.5,57,*,**,49.5,105,*,**,0500000US48383,Reagan,REAGAN,Rural,Non-Border,REAGAN
Real,54.3,63,--,0,50.9,28,*,**,0500000US48385,Real,REAL,Rural,Border,REAL
Red River,69.2,306,44.3,47,41.3,31,*,**,0500000US48387,Red River,RED RIVER,Rural,Non-Border,RED RIVER
Reeves,71.7,76,*,**,67.7,530,*,13,0500000US48389,Reeves,REEVES,Rural,Border,REEVES
Refugio,68.2,120,*,17,65,145,*,**,0500000US48391,Refugio,REFUGIO,Rural,Non-Border,REFUGIO
Roberts,77.5,31,--,0,*,**,--,0,0500000US48393,Roberts,ROBERTS,Rural,Non-Border,ROBERTS
Robertson,66.9,313,39.8,86,58.4,146,*,**,0500000US48395,Robertson,ROBERTSON,Urban,Non-Border,ROBERTSON
Rockwall Cnty,72,"2,392",56.4,137,54.3,566,67.1,159,0500000US48397,Rockwall Cnty,ROCKWALL,Urban,Non-Border,ROCKWALL
Runnels,72.1,217,*,**,50.5,108,*,**,0500000US48399,Runnels,RUNNELS,Rural,Non-Border,RUNNELS
Rusk,65.3,"1,223",55.8,234,48,386,57.4,35,0500000US48401,Rusk,RUSK,Urban,Non-Border,RUSK
Sabine,61.3,225,*,18,72.4,21,*,**,0500000US48403,Sabine,SABINE,Rural,Non-Border,SABINE
San Augustine,66.3,189,44.1,56,61.4,43,*,**,0500000US48405,San Augustine,SAN AUGUSTINE,Rural,Non-Border,SAN AUGUSTINE
San Jacinto,55.6,551,49.6,61,54.6,118,*,**,0500000US48407,San Jacinto,SAN JACINTO,Rural,Non-Border,SAN JACINTO
San Patricio,64.3,990,47.9,23,54,"1,620",78.3,54,0500000US48409,San Patricio,SAN PATRICIO,Urban,Non-Border,SAN PATRICIO
San Saba,68.8,117,--,0,56,89,*,**,0500000US48411,San Saba,SAN SABA,Rural,Non-Border,SAN SABA
Schleicher,78.2,43,--,0,51.3,61,*,**,0500000US48413,Schleicher,SCHLEICHER,Rural,Non-Border,SCHLEICHER
Scurry,58,324,*,13,39.8,251,*,**,0500000US48415,Scurry,SCURRY,Rural,Non-Border,SCURRY
Shackelford,66.9,97,*,**,*,14,*,**,0500000US48417,Shackelford,SHACKELFORD,Rural,Non-Border,SHACKELFORD
Shelby,61.6,520,44,122,58.2,291,52.5,63,0500000US48419,Shelby,SHELBY,Rural,Non-Border,SHELBY
Sherman Cnty,79.3,65,0,0,52.7,58,*,**,0500000US48421,Sherman Cnty,SHERMAN,Rural,Non-Border,SHERMAN
Smith,63.6,"4,666",44,"1,058",39.7,"1,601",50,240,0500000US48423,Smith,SMITH,Urban,Non-Border,SMITH
Somervell,69.8,199,*,**,56.7,68,*,**,0500000US48425,Somervell,SOMERVELL,Urban,Non-Border,SOMERVELL
Starr,*,13,*,**,53.1,"2,229",*,**,0500000US48427,Starr,STARR,Rural,Border,STARR
Stephens,71.5,236,*,**,61.3,103,*,11,0500000US48429,Stephens,STEPHENS,Rural,Non-Border,STEPHENS
Sterling,79.5,31,--,0,*,17,--,0,0500000US48431,Sterling,STERLING,Rural,Non-Border,STERLING
Stonewall,67.3,37,--,0,*,**,*,**,0500000US48433,Stonewall,STONEWALL,Rural,Non-Border,STONEWALL
